日期,最高气温,最低气温,天气
2024-01-01 ,18℃,9℃,阴~小雨
2024-01-02 ,12℃,7℃,小雨~阴
2024-01-03 ,15℃,5℃,多云
2024-01-04 ,17℃,6℃,多云
2024-01-05 ,22℃,10℃,多云~阴
2024-01-06 ,15℃,7℃,小雨~晴
2024-01-07 ,14℃,4℃,晴~阴
2024-01-08 ,11℃,10℃,中雨~小雨
2024-01-09 ,14℃,10℃,阴
2024-01-10 ,17℃,6℃,阴~多云
2024-01-11 ,18℃,8℃,阴~多云
2024-01-12 ,22℃,11℃,晴~多云
2024-01-13 ,23℃,10℃,阴~多云
2024-01-14 ,25℃,11℃,阴~多云
2024-01-15 ,22℃,11℃,阴~多云
2024-01-16 ,20℃,11℃,多云
2024-01-17 ,25℃,12℃,雾~多云
2024-01-18 ,25℃,14℃,阴
2024-01-19 ,19℃,9℃,多云~小雨
2024-01-20 ,9℃,6℃,小雨~阴
2024-01-21 ,9℃,2℃,阴~小雨
2024-01-22 ,2℃,-1℃,暴雪~中雪
2024-01-23 ,0℃,-2℃,小雪~多云
2024-01-24 ,2℃,-1℃,阴~多云
2024-01-25 ,5℃,2℃,阴
2024-01-26 ,6℃,4℃,晴~阴
2024-01-27 ,6℃,4℃,阴
2024-01-28 ,11℃,7℃,阴
2024-01-29 ,9℃,7℃,小雨
2024-01-30 ,15℃,11℃,小雨~阴
2024-01-31 ,24℃,16℃,雾~阴
2024-02-01 ,26℃,11℃,阴~小雨
2024-02-02 ,14℃,9℃,阴
2024-02-03 ,8℃,7℃,小雨
2024-02-04 ,6℃,4℃,暴雨~阴
2024-02-05 ,6℃,4℃,阴~小雨
2024-02-06 ,5℃,3℃,阴~中雨
2024-02-07 ,4℃,2℃,中雨~小雨
2024-02-08 ,4℃,3℃,阴
2024-02-09 ,12℃,2℃,阴~多云
2024-02-10 ,17℃,3℃,雾~多云
2024-02-11 ,20℃,4℃,雾~多云
2024-02-12 ,22℃,7℃,阴~多云
2024-02-13 ,24℃,12℃,阴~多云
2024-02-14 ,26℃,14℃,阴~多云
2024-02-15 ,26℃,10℃,阴
2024-02-16 ,16℃,10℃,阴~多云
2024-02-17 ,22℃,17℃,阴
2024-02-18 ,25℃,20℃,阴
2024-02-19 ,27℃,20℃,阴~多云
2024-02-20 ,26℃,18℃,阴
2024-02-21 ,29℃,6℃,阴~雷阵雨
2024-02-22 ,6℃,4℃,小雨
2024-02-23 ,3℃,2℃,小雨~阴
2024-02-24 ,4℃,2℃,阴
2024-02-25 ,5℃,4℃,小雨~阴
2024-02-26 ,6℃,3℃,阴~小雨
2024-02-27 ,7℃,4℃,阴
2024-02-28 ,6℃,5℃,小雨
2024-02-29 ,6℃,5℃,大雨~小雨
2024-03-01 ,6℃,4℃,小雨~多云
2024-03-02 ,9℃,5℃,阴~多云
2024-03-03 ,10℃,6℃,雾~阴
2024-03-04 ,16℃,15℃,小雨~雷阵雨
2024-03-05 ,27℃,11℃,阴~雷阵雨
2024-03-06 ,12℃,9℃,阴~多云
2024-03-07 ,14℃,8℃,阴~多云
2024-03-08 ,19℃,10℃,多云
2024-03-09 ,13℃,8℃,雷阵雨~阴
2024-03-10 ,13℃,11℃,小雨~中雨
2024-03-11 ,18℃,8℃,阴~多云
2024-03-12 ,21℃,10℃,小雨~多云
2024-03-13 ,15℃,13℃,阴
2024-03-14 ,13℃,12℃,小雨~雷阵雨
2024-03-15 ,16℃,12℃,雷阵雨
2024-03-16 ,25℃,17℃,雾~阴
2024-03-17 ,29℃,16℃,阴~雷阵雨
2024-03-18 ,18℃,11℃,阴~小雨
2024-03-19 ,19℃,8℃,阴~多云
2024-03-20 ,23℃,11℃,阴~多云
2024-03-21 ,16℃,14℃,阴
2024-03-22 ,22℃,18℃,阴
2024-03-23 ,25℃,22℃,阴
2024-03-24 ,29℃,21℃,阴~多云
2024-03-25 ,30℃,15℃,小雨~阴
2024-03-26 ,21℃,14℃,小雨~多云
2024-03-27 ,26℃,18℃,阴~雷阵雨
2024-03-28 ,26℃,17℃,阴~多云
2024-03-29 ,30℃,18℃,阴~雷阵雨
2024-03-30 ,30℃,21℃,阴~中雨
2024-03-31 ,29℃,20℃,中雨~雷阵雨
2024-04-01 ,25℃,22℃,暴雨~阴
2024-04-02 ,29℃,22℃,小雨~多云
2024-04-03 ,28℃,18℃,小雨~暴雨
2024-04-04 ,19℃,15℃,暴雨~中雨
2024-04-05 ,16℃,15℃,大雨~中雨
2024-04-06 ,16℃,15℃,中雨
2024-04-07 ,18℃,15℃,中雨~雷阵雨
2024-04-08 ,17℃,15℃,小雨~阴
2024-04-09 ,20℃,15℃,阴~多云
2024-04-10 ,24℃,18℃,阴
2024-04-11 ,27℃,21℃,阴~雷阵雨
2024-04-12 ,23℃,21℃,小雨~阴
2024-04-13 ,30℃,22℃,阴
2024-04-14 ,30℃,23℃,阴
2024-04-15 ,32℃,23℃,阴
2024-04-16 ,32℃,23℃,阴~雷阵雨
2024-04-17 ,28℃,21℃,小雨~雷阵雨
2024-04-18 ,26℃,21℃,阴~雷阵雨
2024-04-19 ,24℃,21℃,中雨~大雨
2024-04-20 ,23℃,20℃,中雨~大雨
2024-04-21 ,23℃,20℃,中雨~雷阵雨
2024-04-22 ,26℃,20℃,阴~雷阵雨
2024-04-23 ,26℃,19℃,阴~多云
2024-04-24 ,27℃,21℃,阴~雷阵雨
2024-04-25 ,22℃,20℃,大雨~中雨
2024-04-26 ,30℃,21℃,阴~多云
2024-04-27 ,28℃,21℃,暴雨~中雨
2024-04-28 ,30℃,22℃,小雨~雷阵雨
2024-04-29 ,31℃,22℃,小雨~中雨
2024-04-30 ,23℃,17℃,中雨~阴
2024-05-01 ,19℃,17℃,阴~多云
